transaction_id,customer_id,amount,currency,merchant_name,merchant_category,transaction_date,posting_date,type,status,dispute_eligible,dispute_reason,reference_number
d3a143d0-e301-4e51-add6-44f1574ff7e5,52cf29a1-bcb8-4463-bf8f-7c905a9151f4,1950.12,USD,Costco,retail,2025-10-01T02:07:03+00:00,2025-10-04T02:07:03+00:00,transfer,completed,True,,TXN0AX7CCPGS
59fd38cb-9dd9-46e2-90aa-cfae08d9f5fd,8303408b-b6fd-4c16-a059-4cfe69cedff5,4401.41,INR,Best Buy,retail,2026-02-18T02:07:03+00:00,2026-02-20T02:07:03+00:00,refund,completed,False,,TXNKKOT7CJ
3ed922fe-0a02-4a9a-8d48-66fc9052cb2a,23dbbf97-a184-41b2-a883-da71a44ce0ae,1554.06,USD,ATM Withdrawal,atm,2026-02-14T02:07:03+00:00,2026-02-16T02:07:03+00:00,fee,failed,False,,TXNT3IZUCJOF
692a664d-7b42-4277-aa3c-052bff244252,5a10c678-0b49-4700-adc3-dc0afc890a76,508.75,GBP,Disney Plus,subscription,2026-01-05T02:07:03+00:00,2026-01-08T02:07:03+00:00,debit,completed,False,,TXNY2N80YQHY
b28f5290-eec2-4006-a056-15dfe3a71fe2,f8fbbde0-a586-48d8-8a71-347f0fc08eb0,582.98,USD,DoorDash,food,2025-09-19T05:40:52+00:00,2025-09-22T05:40:52+00:00,debit,completed,False,,TXNSWLE7WYYL
0a04fccd-b6f6-4c39-a338-c3119dc233f6,d27aac2e-752b-4148-86e7-3c5f3699cee7,615.47,USD,Foreign Merchant Ltd,retail,2025-09-27T02:07:03+00:00,2025-09-29T02:07:03+00:00,credit,completed,True,,TXNZJNNV8K1
c24b3556-8222-40aa-b988-a3f3d4dd6585,20c0c306-e1ee-4cf7-b283-22c285e98c21,2028.12,USD,Zelle Payment,transfer,2026-01-20T02:07:03+00:00,2026-01-22T02:07:03+00:00,refund,completed,False,,TXN9REYVJI6
b0abb076-92c9-491e-a9ee-37188cabf766,0a18b577-292d-4c33-aca7-a254858aa23e,1378.36,USD,Airbnb,travel,2025-12-02T02:07:03+00:00,2025-12-03T02:07:03+00:00,transfer,completed,True,,TXNKGWXLZ5MR
059080da-c525-4cc1-b0a7-9550f4576d04,f8fbbde0-a586-48d8-8a71-347f0fc08eb0,1001.76,USD,Foreign Merchant Ltd,retail,2026-02-21T02:07:03+00:00,2026-02-23T02:07:03+00:00,debit,reversed,True,,TXN2R7CNFJ
f90cd904-0369-41f6-8875-a679326210b0,1c5e415a-1e0f-4f16-910c-a8c83a056324,237.29,USD,Walmart,retail,2025-12-04T02:07:03+00:00,2025-12-05T02:07:03+00:00,fee,completed,False,,TXN7LI5TBA
67f0752c-1f13-4e47-aaf3-76abce11f326,d9874677-f96b-4061-8cb4-c614248cbccd,4001.89,USD,Overseas Retailer,retail,2025-10-14T02:07:03+00:00,2025-10-17T02:07:03+00:00,fee,completed,False,,TXNYN7VY79TE
567cdf98-29ef-43c4-a82e-452b2dc5d881,f5d6ffdd-2b5d-4d0c-9e3a-4c475d361a0d,3988.22,USD,Airbnb,travel,2026-01-30T02:07:03+00:00,2026-01-31T02:07:03+00:00,fee,completed,False,,TXNTLPZQEOH1
c3089616-b2ef-4815-a3c4-6e37c35313bf,d27aac2e-752b-4148-86e7-3c5f3699cee7,1758.6,USD,Wire Transfer,transfer,2025-11-18T02:07:03+00:00,2025-11-20T02:07:03+00:00,fee,completed,False,,TXN4RRVDKI
